order	content	target_cat	gripper_cat	mechanism_cat
​482	加快推进新型农村合作医疗制度建设，今年把试点范围扩大到全国40%的县，中央和地方财政对参加合作医疗农民的补助标准由20元提高到40元，中央财政为此将增加支出42亿元。	经济	人口	供给型
​483	到2008年，要在全国农村基本建立新型合作医疗制度和医疗救助制度。	经济	人口	供给型
​484	实行城市医疗卫生人员定期到农村服务的制度。	经济	人口	供给型
​485	扩大农村计划生育家庭奖励扶助制度的覆盖面和西部地区“少生快富工程”的实施范围。	经济	人口	供给型
​486	我国工业化、城镇化、市场化、国际化进程明显加快，社会生产力、综合国力和人民生活水平都跃上一个新台阶，城乡面貌发生了很大变化。	经济	产业	供给型
​487	农业特别是粮食生产出现重要转机，主要工业产品产量大幅度增长，高技术产业快速发展，基础产业和基础设施建设成就斐然，在水利、能源、交通、通信等领域建成或新开工一大批重大工程。	经济	产业	供给型
​488	农村、国有企业、金融、财税、投资等改革和市场体系、社会保障体系建设都取得重大进展。	经济	产业	供给型
​489	城镇居民人均可支配收入和农村居民人均纯收入，分别实际增长58.3%和29.2%。	经济	人口	供给型
​490	主要是：经济结构不合理，自主创新能力不强，经济增长方式转变缓慢，能源资源消耗过大，环境污染加剧；就业矛盾比较突出；投资和消费的关系不协调；城乡、区域发展差距和部分社会成员之间收入差距继续扩大；社会事业发展仍然滞后。	经济	产业	环境型
​491	《纲要（草案）》全面贯彻落实科学发展观，体现了中央《建议》提出的重要原则，这就是：必须保持经济平稳较快发展，必须加快转变经济增长方式，必须提高自主创新能力，必须促进城乡区域协调发展，必须加强和谐社会建设，必须不断深化改革开放。	生态	民生	需求型
​492	一是建设社会主义新农村。《纲要（草案）》把解决“三农”问题放在各项战略任务的首位。	政治	党建	需求型
​493	强调坚持统筹城乡经济社会发展，按照生产发展、生活宽裕、乡风文明、村容整洁、管理民主的要求，扎实稳步地推进社会主义新农村建设。	社会	党建	需求型
​494	要进一步提高农业综合生产能力，推进农业结构调整，加强农村基础设施建设，增加农民收入。	经济	人口	供给型
​495	着力抓好大型粮棉油生产基地、优质粮食产业、农田水利、饮水安全、公路、沼气和农村教育、文化、卫生建设等重点工程。	生态	产业	环境型
​496	全面推进农村综合改革，基本完成乡镇机构、农村义务教育和县乡财政管理体制等改革任务。	经济	土地	供给型
​497	培养造就有文化、懂技术、会经营的新型农民。	社会	民生	供给型
​498	建设资金要更多地向“三农”倾斜，公共服务要更大范围地覆盖农村，全社会都要大力支持农村发展。	经济	资金	供给型
​499	政府投资使用要确保“三个高于”，即：用于直接改善农村生产生活条件的投入高于上年，用于基础教育和公共卫生等社会事业的投入高于上年，用于西部大开发的投入高于上年。	经济	资金	供给型
​500	调整和优化信贷结构，引导银行加大对“三农”、中小企业、节能环保和自主创新的信贷支持；继续控制中长期贷款，严格限制对高耗能、高污染企业和产能过剩行业的落后企业贷款。	经济	资金	环境型
​501	要采取多种措施，努力增加城乡居民收入特别是中低收入者的收入。	社会	民生	供给型
​502	特别要扩大农村消费需求，认真落实促进农民增收减负的政策措施，加强农村商贸流通和市场体系建设，改善农村消费环境和条件。	经济	民生	需求型
​503	积极引导社会资金更多地投向农业农村、社会事业、自主创新、资源节约、环境保护和中西部地区。	生态	民生	环境型
​504	（二）发展现代农业和推进社会主义新农村建设 农业、农村和农民问题，是关系全面建设小康社会和现代化事业全局的重大问题。	经济	产业	需求型
​505	今年的“三农”工作，要以加快发展现代农业为重点，扎实推进社会主义新农村建设。	政治	党建	供给型
​506	一是稳定发展粮食生产。要保护好基本农田，稳定粮食播种面积，优化粮食品种结构，着力提高粮食单产。	经济	产业	供给型
​507	二是切实提高农业综合生产能力。加快农业设施建设，改善农业技术装备，加强农业科研和技术推广，健全社会化服务体系，增强农业防灾减灾能力。	经济	科创	供给型
​508	加强动物疫病防治体系建设。三是大力加强农村基础设施建设。	经济	民生	供给型
​509	加快农村水利、道路、电网、通信、安全饮水、沼气等设施建设。	经济	民生	环境型
​510	四是多渠道增加农民收入。努力增加种养业、林业收入，积极发展农村二三产业，特别是农产品加工业，大力推进农业产业化经营，支持龙头企业发展，壮大县域经济，拓宽农民就业增收渠道。	经济	人口	供给型
​511	认真落实解决农民工问题的各项政策措施。加大扶贫开发力度，进一步减少农村贫困人口。	社会	民生	需求型
​512	五是着力推进农村实用人才队伍建设和农村人力资源开发。	经济	人口	供给型
​513	加强农村劳动力培训，提高农民科学种养技术水平和转移就业能力，培养造就新型农民。	社会	民生	供给型
​514	发展现代农业，推进新农村建设，要靠政策、靠投入、靠科技、靠改革。	经济	产业	供给型
​515	一要巩固、完善和加强支农惠农政策。增加对种粮农民的直接补贴、良种补贴、农机具购置补贴和农业生产资料综合补贴。	经济	资金	供给型
​516	继续实行粮食最低收购价政策。进一步加大对财政困难县乡和产粮大县的支持力度。	经济	人口	供给型
​517	二要加大对农业农村投入力度。切实把国家基础设施建设和社会事业发展的重点转向农村，今年财政支农投入的增量要继续高于上年，国家固定资产投资用于农村的增量要继续高于上年，土地出让收入用于农村建设的增量要继续高于上年。	经济	资金	供给型
​518	中央财政安排用于“三农”的资金3917亿元，比去年增加520亿元。	经济	资金	供给型
​519	积极发展农业保险，扩大农业政策性保险试点范围。	经济	资金	供给型
​520	三要加快农业科技进步。加强农业科技创新能力建设，支持农业科技项目，加快农业科技成果转化，完善基层农业技术推广和服务体系，鼓励农业科技进村入户。	经济	产业	供给型
​521	四要全面推进农村综合改革。加快乡镇机构改革、农村义务教育改革和县乡财政管理体制改革，逐步建立精干高效的农村行政管理体制、政府保障的农村义务教育体制、覆盖城乡的公共财政制度。	政治	党建	环境型
​522	同时，推进征地制度、集体林权制度改革，积极发展农民专业合作组织，继续清理和化解乡村债务。	政治	党建	供给型
​523	推进社会主义新农村建设，必须把重点放在发展农村经济、增加农民收入上。	经济	人口	供给型
​524	坚持稳定和完善农村基本经营制度，坚持因地制宜、从实际出发，坚持尊重农民意愿、维护农民权益，反对形式主义和强迫命令。	政治	党建	环境型
​525	禁止污染企业和城市污染物向农村扩散，控制农村面源污染。	生态	土地	环境型
​526	坚决控制建设占地规模，加强耕地特别是基本农田保护，禁止擅自将农用地转为建设用地。	经济	土地	供给型
​527	二要抓紧完善和严格执行节约集约用地标准，包括农村集体建设用地和宅基地，都要控制增量，盘活存量，提高土地利用效率和集约化程度。	生态	土地	环境型
​528	积极推进东北地区等老工业基地振兴，重点是加大产业结构调整力度，搞好重要行业、企业的重组改造，推动装备制造业、原材料加工业、高新技术产业和农产品加工业发展，加强商品粮基地建设。	经济	产业	供给型
​529	加快棚户区改造。中部地区，重点是继续加强粮食主产区生产能力和农产品加工转化能力建设，加强能源、重要原材料基地、综合交通运输体系建设，支持发展先进制造业和高新技术产业。	经济	产业	供给型
​530	今年，要在全国农村全部免除义务教育阶段的学杂费，这将使农村1.5亿中小学生的家庭普遍减轻经济负担；继续对农村贫困家庭学生免费提供教科书并补助寄宿生活费。	社会	民生	供给型
​531	要完善农村义务教育经费保障机制，不断提高保障水平。	社会	民生	供给型
​532	今年全国财政安排农村义务教育经费2235亿元，比去年增加395亿元。	经济	资金	供给型
​533	“十一五”时期中央财政将投入100亿元，实施农村初中学校改造计划，地方政府也要相应增加这方面的投入。	经济	资金	供给型
​534	同时，继续解决好城市困难家庭和农民工子女接受义务教育问题。	社会	民生	供给型
​535	今年还要确保全面完成西部地区“两基”攻坚计划和农村中小学现代远程教育工程。	社会	民生	供给型
​536	重点发展中等职业教育，健全覆盖城乡的职业教育和培训网络。	社会	民生	供给型
​537	这是继全部免除农村义务教育阶段学杂费之后，促进教育公平的又一件大事。	社会	民生	供给型
​538	加快卫生事业改革发展。着眼于建设覆盖城乡居民的基本卫生保健制度，今年重点抓好四件事：一是积极推行新型农村合作医疗制度。	社会	民生	需求型
​539	落实农村卫生服务体系建设与发展规划，健全县、乡、村三级农村卫生服务网络，每个乡镇由政府办好一所卫生院，采取多种形式支持每个行政村设立一个卫生室，建设农村药品供应网和监督网，加强农村卫生队伍建设，努力让广大农民享有安全、有效、方便、价廉的医疗卫生服务。	社会	民生	需求型
​540	全面实行农村计划生育家庭奖励扶助等制度。	社会	民生	供给型
​541	扩大农村“少生快富”工程实施范围。完善流动人口计划生育管理服务体系。	经济	民生	需求型
​542	突出抓好广播电视村村通工程、社区和乡镇综合文化站建设工程、全国文化信息资源共享工程、农村电影放映工程、农家书屋工程。	文化	民生	供给型
​543	积极发展体育事业和体育产业，加强城乡基层体育设施建设，大力开展全民健身活动，提高竞技体育水平。	经济	产业	供给型
​544	加快建立适合农民工特点的社会保障制度，重点推进农民工工伤保险和大病医疗保障工作。	社会	民生	供给型
​545	积极发展社会福利事业。完善城乡社会救助体系。	社会	民生	需求型
​546	健全城市居民最低生活保障制度、城乡医疗救助制度、城市生活无着的流浪乞讨人员救助制度。	社会	民生	需求型
​547	今年要在全国范围建立农村最低生活保障制度，这是加强“三农”工作、构建和谐社会的又一重大举措。	社会	民生	需求型
​548	在全国城乡建立最低生活保障制度，对于促进社会公平、构建和谐社会具有重大而深远的意义。	社会	民生	需求型
​549	支持慈善事业发展。要让城乡百姓特别是困难群众都能够享受到公共财政的阳光。	社会	民生	需求型
​550	加强城乡基层自治组织建设。扩大基层民主，完善政务公开、厂务公开、村务公开等制度，保证人民依法直接行使民主权利。	政治	党建	供给型
​551	巩固和发展国有商业银行股份制改革成果。推进中国农业银行股份制改革。	经济	资金	供给型
​552	二要加快农村金融改革。构建分工合理、投资多元、功能完善、服务高效的农村金融组织体系。	经济	资金	供给型
​553	充分发挥中国农业银行、中国农业发展银行在农村金融中的骨干和支柱作用，继续深化农村信用社改革，增强中国邮政储蓄银行为“三农”服务的功能。	经济	资金	供给型
​554	适当调整和放宽农村地区银行业金融机构准入政策，鼓励各类资本进入农村金融机构。	经济	资金	供给型
​555	探索发展适合农村特点的新型金融组织，加大农村金融产品和服务创新力度，积极解决农村贷款难问题。	经济	资金	供给型
​556	支持具有自主品牌和高附加值产品出口，扩大服务产品和农产品出口，控制高耗能、高污染产品出口，促进加工贸易转型升级。	经济	产业	供给型
​557	继续调整财政支出和政府投资结构，较大幅度地增加“三农”、社会保障、医疗卫生、教育、文化、节能减排和廉租住房建设等方面支出。	经济	资金	供给型
​558	依法增加地方两税返还和一般性转移支付的支出；增加农林水、教育、文化和科技方面支出；增加社会保障、医疗卫生、司法保障和廉租住房建设支出；增加节能减排和环境保护支出；解决农村义务教育债务和国有粮食企业财务挂账等历史遗留问题支出。	经济	资金	供给型
​559	控制中长期贷款增长，特别是对高耗能、高排放企业和产能过剩行业的贷款；创新和改进银行信贷服务，完善担保、贴息等制度，加大对“三农”、服务业、中小企业、自主创新、节能环保、区域协调发展等方面的贷款支持。	经济	产业	供给型
​560	五要健全大宗农产品、初级产品供求和价格变动的监测预警制度，做好市场供应和价格应急预案。	经济	产业	供给型
​561	六要加强市场和价格监管，抓好教育收费、医药价格、农资价格及涉农收费的监督检查。	经济	产业	供给型
​562	八要遏制生产资料尤其是农业生产资料价格过快上涨。	经济	产业	供给型
​563	要以电网恢复重建为重点抓紧修复基础设施，尽快恢复农业生产，加强煤电油运协调工作，妥善安排受灾地区群众生活。	经济	民生	供给型
​564	（二）加强农业基础建设，促进农业发展和农民增收 今年，要千方百计争取农业有个好收成，努力增加农民收入，推进社会主义新农村建设。	经济	资金	供给型
​565	突出抓好三件事：一是大力发展粮食生产，保障农产品供给。	经济	产业	供给型
​566	要切实稳定粮食种植面积，提高单产水平。加大对粮食主产区和种粮农民的扶持力度，实施粮食战略工程，加快建立粮食核心产区，全面提高粮食综合生产能力和供给保障能力。	经济	产业	供给型
​567	农业生产既要增加总量，又要优化品种结构，促进各类重要农产品稳定增长。	经济	人口	供给型
​568	推进农业标准化生产，提高农产品质量安全水平。	经济	产业	供给型
​569	二是加强农业基础设施建设。加快完成大中型和重点小型病险水库除险加固任务。	生态	土地	环境型
​570	搞好灌区改造和小型农田水利建设，大力发展节水灌溉。	经济	民生	供给型
​571	加大土地开发整理复垦力度，搞好中低产田改造，提高耕地质量，建设一批高标准农田。	经济	土地	供给型
​572	加强农村饮水、道路、电网、通信、文化等基础设施建设，大力发展农村公共交通，改善农村人居环境。	经济	民生	供给型
​573	今年要再解决3200万农村人口的安全饮水问题，增加500万农村沼气用户，支持建设一批大中型沼气项目。	经济	民生	供给型
​574	三是拓宽农民增收渠道。加快发展高产优质高效生态安全农业，支持农业产业化经营和龙头企业发展。	生态	产业	供给型
​575	加强农村现代市场流通体系建设，壮大和提升农村二三产业，发展乡镇企业，增强县域经济实力。	经济	产业	供给型
​576	加强农村职业教育和技能培训，提高农民转移就业能力，发展劳务经济。	社会	民生	供给型
​577	今年财政支农投入的增量要明显高于上年，国家固定资产投资用于农村的增量要明显高于上年，政府土地出让收入用于农村建设的增量要明显高于上年。	经济	资金	供给型
​578	调整耕地占用税使用方向，改革城市建设维护税使用办法，增加农村建设投入。	经济	资金	供给型
​579	今年中央财政安排“三农”支出5625亿元，比上年增加1307亿元。	经济	资金	供给型
​580	二要强化和完善农业支持政策。增加粮食直补、农资综合直补。	经济	资金	供给型
​581	扩大良种补贴规模和范围。增加农机具购置补贴种类，提高补贴标准，从今年起农机具购置补贴覆盖到所有农业县。	经济	人口	供给型
​582	根据情况提高粮食最低收购价。三要坚持最严格的耕地保护制度，特别是加强基本农田保护。	经济	土地	供给型
​583	按土地利用总体规划从严审查调整各类规划的用地规模和标准，严格执行土地用途管制制度，依法严格管理农村集体和个人建设用地，坚决制止违法违规占用耕地和林地行为。	生态	土地	环境型
​584	四要完善农业科技推广和服务体系。加强农业科技创新和成果转化，强化以公益性为主的多元化农业技术推广服务。	生态	科创	环境型
​585	加快推进农业机械化。加强良种、信息、农产品质量安全和防灾减灾体系建设，搞好动物疫病和植物病虫害防控。	生态	土地	环境型
​586	扩大测土配方施肥规模。五要全面推进农村改革。	经济	土地	供给型
​587	加快农村综合改革步伐。采取多种有效措施，积极稳妥地化解乡村债务。	经济	资金	供给型
​588	中央和地方将增加财政投入，用三年左右时间基本化解农村义务教育历史债务。	经济	资金	供给型
​589	坚持农村基本经营制度，稳定和完善土地承包关系，按照依法自愿有偿原则，健全土地承包经营权流转市场，有条件的地方可以发展多种形式的适度规模经营。	经济	土地	供给型
​590	大力发展农民专业合作组织。全面推进集体林权制度改革。	经济	产业	供给型
​591	着力突破新能源汽车、高速轨道交通、工农业节水等一批重大关键技术。	经济	科创	供给型
​592	组织实施东北地区振兴规划，支持先进装备制造业、现代农业发展和资源枯竭型地区经济转型。	经济	产业	供给型
​593	提高重点流域水污染物的国家排放标准。五是加强农村饮用水水源地保护，推进农村生活污染治理，严格控制农村地区工业污染，加强畜禽、水产养殖污染治理，控制农业面源污染。	生态	土地	环境型
​594	加快金融体制改革，加强金融监管。继续深化银行业改革，重点推进中国农业银行股份制改革和国家开发银行改革。	经济	资金	供给型
​595	建立存款保险制度。加快农村金融改革，强化中国农业银行、中国农业发展银行和中国邮政储蓄银行为“三农”服务的功能，继续深化农村信用社改革，积极推进新型农村金融机构发展。	经济	资金	供给型
​596	深化保险业改革，积极扩大农业保险范围，做好政策性农业保险试点工作。	经济	资金	供给型
​597	一是在全国城乡普遍实行免费义务教育。继续增加农村义务教育公用经费，提高保障水平。	社会	民生	供给型
​598	适当提高农村家庭经济困难寄宿生生活费补助标准。	社会	民生	供给型
​599	切实减轻中小学生课业负担。二要加强教师队伍特别是农村教师队伍建设，完善和落实教师工资、津贴补贴制度。	社会	民生	供给型
​600	推进卫生事业改革和发展。重点抓好四件事：一是加快建设覆盖城乡居民的医疗保障制度。	社会	民生	需求型
​601	扩大城镇职工基本医疗保险覆盖面；城镇居民基本医疗保险试点要扩大到全国50%以上的城市；在全国农村全面推行新型农村合作医疗制度，用两年时间将筹资标准由每人每年50元提高到100元，其中中央和地方财政对参合农民的补助标准由40元提高到80元。	社会	民生	供给型
​602	健全城乡医疗救助制度。二是完善公共卫生服务体系。	社会	民生	需求型
​603	在中西部地区农村实施住院分娩补助政策。健全公共卫生服务经费保障机制。	社会	民生	需求型
​604	三是推进城乡医疗服务体系建设。重点健全农村三级卫生服务网络和城市社区医疗卫生服务体系。	社会	民生	供给型
​605	加大全科医护人员和乡村医生培养力度，鼓励高素质人才到基层服务。	社会	民生	供给型
​606	今年中央财政将安排832亿元，比上年增加167亿元，支持卫生事业改革和发展，重点向农村和基层倾斜。	经济	资金	供给型
​607	全面实施计划生育家庭特别扶助制度，扩大实施农村计划生育家庭奖励制度和少生快富工程范围，提高奖励扶助标准。	社会	民生	供给型
​608	加快建设城乡统一规范的人力资源市场，完善公共就业服务体系，促进形成城乡劳动者平等就业制度。	社会	民生	供给型
​609	增加城乡居民收入。关键要调整国民收入分配格局，深化收入分配制度改革，逐步提高居民收入在国民收入分配中的比重，提高劳动报酬在初次分配中的比重。	社会	民生	环境型
​610	一是多渠道增加农民收入，确保农民工工资按时足额发放，适当提高扶贫标准。	社会	民生	供给型
​611	一要做好社会保险扩面和基金征缴工作。重点扩大农民工、非公有制经济组织就业人员、城镇灵活就业人员参加社会保险。	社会	民生	供给型
​612	抓紧制定适合农民工特点的养老保险办法。鼓励各地开展农村养老保险试点。	社会	民生	供给型
​613	四要健全社会救助体系。重点完善城乡居民最低生活保障制度，建立与经济增长和物价水平相适应的救助标准调整机制。	社会	民生	环境型
​614	建立和完善覆盖城乡的社会保障体系，让人民生活无后顾之忧，直接关系经济社会发展，是全面建设小康社会的一项重大任务。	社会	民生	需求型
​615	同时，要积极改善农民工居住条件。二要增加中低价位、中小套型普通商品住房供应，建立多渠道投融资机制，通过多种途径帮助中等收入家庭解决住房问题。	社会	民生	供给型
​616	同时，要加强农村住房建设规划和管理，切实解决农村困难群众住房安全问题。	生态	土地	环境型
​617	鼓励创作优秀精神文化产品。加大政府投入力度，加快构建覆盖全社会的公共文化服务体系，加强公益性文化事业建设，特别是加强社区和乡村文化设施建设。	文化	民生	供给型
​618	加快乡镇综合文化站建设。推进全国文化信息共享、广播电视村村通、农家书屋和农村电影放映工程。	文化	民生	供给型
​619	加强城乡公共体育设施建设，广泛开展全民健身活动，不断提高竞技体育水平。	社会	民生	供给型
​620	发展基层民主，完善基层群众自治制度，扩大基层群众自治范围，推动城乡社区建设，深入推进政务公开、村务公开、厂务公开。	社会	民生	供给型
​621	改革和加强城乡社区警务工作。加强流动人口服务和管理。	社会	民生	供给型
​622	今年国民经济和社会发展的主要预期目标是：国内生产总值增长８％左右，经济结构进一步优化；城镇新增就业９００万人以上，城镇登记失业率４．６％以内；城乡居民收入稳定增长；居民消费价格总水平涨幅４％左右；国际收支状况继续改善。	经济	民生	供给型
​623	在我们这样一个１３亿人口的发展中国家，要扩大城乡就业，增加居民收入，维护社会稳定，就必须保持一定的经济增长速度。	社会	民生	需求型
​624	大规模增加政府投资，实施总额４万亿元的两年投资计划，其中中央政府拟新增１．１８万亿元，实行结构性减税，扩大国内需求；大范围实施调整振兴产业规划，提高国民经济整体竞争力；大力推进自主创新，加强科技支撑，增强发展后劲；大幅度提高社会保障水平，扩大城乡就业，促进社会事业发展。	经济	资金	供给型
​625	二是优化信贷结构。加强对信贷投向的监测和指导，加大对“三农”、中小企业等薄弱环节的金融支持，切实解决一些企业融资难问题。	经济	资金	需求型
​626	继续调整收入分配格局，提高劳动报酬占国民收入的比重，增加政府支出用于改善民生、扩大消费的比重，增加对城镇低收入群众和农民的补贴。	社会	民生	供给型
​627	完善消费政策，优化消费环境。加快建设“万村千乡”市场工程，推进连锁经营向农村延伸。	经济	产业	供给型
​628	要加强城乡消费设施和服务体系建设，规范市场秩序，维护消费者合法权益。	社会	民生	需求型
​629	做好“家电下乡”、“农机下乡”、“汽车、摩托车下乡”等工作，把中央财政的４００亿元补贴资金用好用活，使企业增加销售、农民得到实惠。	经济	资金	供给型
​630	二是保持投资较快增长和优化投资结构。今年中央政府投资总额９０８０亿元，主要用于保障性住房、教育、卫生、文化等民生工程建设，节能环保和生态建设，技术改造与科技创新，农田水利、铁路、高速公路等重点基础设施建设和地震灾后恢复重建。	经济	资金	供给型
​631	今年中央财政拟安排保障性安居工程资金４９３亿元，加大对廉租房建设和棚户区改造的投资支持力度，适当提高中西部地区补助标准，扩大农村危房改造试点范围，实施少数民族地区游牧民定居工程。	经济	资金	供给型
​632	继续整顿房地产市场秩序，规范交易行为。帮助进城农民工解决住房困难问题。	社会	民生	供给型
​633	加快灾区城乡居民住房恢复重建，实行维修加固与新建相结合。	社会	民生	供给型
​634	基本完成因灾倒塌和严重损毁农房重建任务，保证受灾群众在今年底前住进新房。	经济	人口	供给型
​635	（三）巩固和加强农业基础地位，促进农业稳定发展和农民持续增收 今年重点抓好五件事：一是稳定发展粮食生产。	经济	民生	供给型
​636	二是以市场需求为导向调整农业结构。支持重要紧缺农产品生产，提高农产品质量、效益和竞争力。	经济	产业	需求型
​637	加快实施新一轮优势农产品区域布局规划，支持优势产区发展油料等经济作物，稳定生猪生产，实施奶业振兴规划，推进畜牧水产规模化标准化健康养殖。	经济	人口	供给型
​638	加强重大动植物疫病防控。三是加强农业基础设施和农村民生工程建设。	生态	民生	环境型
​639	大规模开展土地整治，实行田、水、路、林综合治理，推进中低产田改造，建设高标准农田。	生态	土地	环境型
​640	加快大中型和重点小型病险水库除险加固进度，加强灌区改造和小型农田水利建设。	生态	土地	环境型
​641	到明年底，基本实现全国乡镇和东中部地区具备条件的建制村道路硬化，西部地区具备条件的建制村通公路。	经济	民生	供给型
​642	再解决６０００万人安全饮水问题，增加５００万沼气用户，继续加强农村电网、邮政通信和社会事业等基础建设。	社会	民生	供给型
​643	四是多渠道促进农民增收。大力发展特色现代农业，扶持农产品精深加工和销售，发展农村二三产业，加快小城镇建设，壮大县域经济。	经济	产业	供给型
​644	五是加大扶贫开发力度。今年将实行新的扶贫标准，对农村低收入人口全面实施扶贫政策。	社会	民生	供给型
​645	全面加强“三农”工作要采取以下措施：一要大幅度增加农业农村投入。	经济	资金	供给型
​646	今年中央财政拟安排“三农”投入７１６１亿元，比上年增加１２０６亿元。	经济	资金	供给型
​647	大幅度增加对中西部地区农村公益性建设项目投入，取消县及县以下相关资金配套要求。	经济	资金	供给型
​648	二要较大幅度提高粮食最低收购价，保持农产品价格合理水平，提高种粮农民积极性。	经济	资金	供给型
​649	适时启动主要农产品临时收储政策，增加粮食、棉花、食用植物油和猪肉储备，加强农产品市场调控。	经济	资金	供给型
​650	三要进一步增加农业补贴。中央财政拟安排补贴资金１２３０亿元，比上年增加２００亿元。	经济	资金	供给型
​651	农机具购置补贴覆盖到全国所有农牧业县（场），中央财政拟安排资金１３０亿元，比上年增加９０亿元。	经济	人口	供给型
​652	根据农资价格上涨幅度和农作物播种面积，及时增加农资综合补贴。	经济	资金	供给型
​653	四要加快新型农业社会化服务体系建设。加大农业科技投入，加强农业科技创新成果推广和服务能力建设。	经济	科创	供给型
​654	健全基层农业技术推广、动植物疫病防控、农产品质量监管等公共服务机构，支持供销合作社、农民专业合作社、龙头企业等提供多种形式的生产经营服务。	经济	产业	供给型
​655	五要稳定完善农村基本经营制度。现有土地承包关系要保持稳定并长久不变，赋予农民包括离乡农民工更加充分而有保障的土地承包经营权。	经济	土地	供给型
​656	推进集体林权制度改革。深化农村综合改革。	政治	党建	环境型
​657	加快乡镇机构改革。积极稳妥化解乡村债务。	政治	党建	供给型
​658	推进农村环境综合整治。整顿规范矿产资源开发秩序。	生态	土地	环境型
​659	积极推进水价改革，逐步提高水利工程供非农业用水价格，完善水资源费征收管理体制。	经济	资金	供给型
​660	稳步发展多种所有制中小金融企业和新型农村金融机构。	经济	产业	供给型
​661	一是把促进高校毕业生就业放在突出位置。高校毕业生到城乡基层社会管理和公共服务岗位就业，给予社会保险和岗位补贴；到农村基层服务和参军入伍，给予学费补偿和代偿助学贷款。	社会	民生	供给型
​662	二是广开农民工就业门路和稳定现有就业岗位。	经济	产业	供给型
​663	要发挥政府投资和重大项目建设带动农民工就业的作用。	社会	民生	供给型
​664	加强有组织的劳务输出，引导农民工有序流动。	经济	产业	供给型
​665	组织返乡农民工参与农村公共设施建设。三是帮助城镇就业困难人员、零就业家庭和灾区劳动力就业。	社会	民生	供给型
​666	对自主创业、农民工返乡创业要进一步降低门槛，给予更大支持。	社会	民生	供给型
​667	大力开展职业培训。加大对就业困难人员和农民工职业技能培训的政策扶持。	社会	民生	供给型
​668	制定实施农民工养老保险办法。新型农村社会养老保险试点要覆盖全国１０％左右的县（市）。	社会	民生	供给型
​669	健全城乡社会救助制度。二是扩大社会保障覆盖范围。	社会	民生	供给型
​670	重点做好非公有制经济从业人员、农民工、被征地农民、灵活就业人员和自由职业者参保工作。	社会	民生	需求型
​671	农村低保要做到应保尽保。多渠道增加全国社会保障基金。	社会	民生	供给型
​672	继续提高失业保险金和工伤保险金标准。进一步提高城乡低保、农村五保等保障水平，提高优抚对象抚恤和生活补助标准。	社会	民生	供给型
​673	落实好城乡免费义务教育政策。提高农村义务教育公用经费标准，把小学、初中学生人均公用经费分别提高到３００元和５００元。	社会	民生	供给型
​674	逐步解决农民工子女在输入地免费接受义务教育问题。	社会	民生	供给型
​675	增加农村义务教育阶段家庭经济困难寄宿生的生活补助。	社会	民生	供给型
​676	争取三年内基本解决农村“普九”债务问题。	经济	资金	供给型
​677	二是优化教育结构。大力发展职业教育，特别要重点支持农村中等职业教育。	社会	民生	供给型
​678	逐步实行中等职业教育免费，今年先从农村家庭经济困难学生和涉农专业做起。	社会	民生	供给型
​679	全面加强教师特别是农村教师培训，鼓励大学生、师范生到基层、农村任教。	社会	民生	供给型
​680	五是实施全国中小学校舍安全工程，推进农村中小学标准化建设。	社会	民生	供给型
​681	努力建成覆盖全国城乡的基本医疗卫生制度，初步实现人人享有基本医疗卫生服务。	社会	民生	需求型
​682	将全国城乡居民分别纳入城镇职工基本医疗保险、城镇居民基本医疗保险和新型农村合作医疗制度覆盖范围，三年内参保率均提高到９０％以上。	社会	民生	供给型
​683	继续提高城镇居民医保和新农合筹资标准和财政补助标准，适当扩大报销范围，提高报销比例。	社会	民生	供给型
​684	完善城乡医疗救助制度，提高救助水平。二是建立国家基本药物制度。	社会	民生	供给型
​685	三是健全基层医疗卫生服务体系。今年要全面完成规划支持的２．９万所乡镇卫生院建设任务。	社会	民生	供给型
​686	今后三年内中央财政再支持５０００所中心乡镇卫生院、２０００所县级医院和２４００所城市社区卫生服务中心建设。	社会	民生	供给型
​687	四是促进基本公共卫生服务逐步均等化。扩大免费公共卫生服务范围，城乡居民人均公共卫生服务经费不低于１５元，以后逐步提高。	社会	民生	供给型
​688	从今年开始，在全国农村实行住院分娩补助政策，定期为孕产妇做产前检查和产后访视，为３岁以下婴幼儿做生长发育检查。	社会	民生	供给型
​689	加强出生缺陷预防工作。将农村部分计划生育家庭奖励扶助标准由人均６００元提高到７２０元。	社会	民生	供给型
​690	在农村妇女中开展妇科疾病定期检查。支持残疾人事业加快发展。	社会	民生	供给型
​691	积极发展公益性文化事业，加快完善公共文化服务体系，加强重点文化设施、城乡基层文化设施特别是广播电视“村村通”和乡镇综合文化站、农家书屋建设，努力推进文化惠民工程。	文化	民生	供给型
​692	统筹推进城乡社区建设，促进社会组织健康发展。	政治	党建	环境型
​693	加强两岸双向投资和产业合作，拓展和深化农业合作。	经济	产业	供给型
​694	经济增长内生动力不足，自主创新能力不强，部分行业产能过剩矛盾突出，结构调整难度加大；就业压力总体上持续增加和结构性用工短缺的矛盾并存；农业稳定发展和农民持续增收的基础不稳固；财政金融领域潜在风险增加；医疗、教育、住房、收入分配、社会管理等方面的突出问题亟待解决。	社会	民生	需求型
​695	继续向“三农”、民生、社会事业等领域倾斜，支持节能环保、自主创新和欠发达地区的建设。	生态	民生	环境型
